0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 2.500000e+00
1.010101e-02 1.235207e-01 -1.054174e+00 9.974054e-02 2.018700e+00
2.020202e-02 2.808590e-01 -9.094102e-01 2.290223e-01 2.038588e+00
3.030303e-02 3.592754e-01 -7.300297e-01 2.977492e-01 2.071873e+00
4.040404e-02 4.208324e-01 -5.987462e-01 3.571427e-01 2.121644e+00
5.050505e-02 4.744265e-01 -4.911024e-01 4.124203e-01 2.173257e+00
6.060606e-02 5.230871e-01 -3.986555e-01 4.652980e-01 2.223807e+00
7.070707e-02 5.677578e-01 -3.178436e-01 5.160231e-01 2.272197e+00
8.080808e-02 6.084872e-01 -2.471784e-01 5.640853e-01 2.317573e+00
9.090909e-02 6.449001e-01 -1.861603e-01 6.085361e-01 2.359033e+00
1.010101e-01 6.764624e-01 -1.347277e-01 6.482282e-01 2.395655e+00
1.111111e-01 7.026920e-01 -9.288951e-02 6.820701e-01 2.426632e+00
1.212121e-01 7.233504e-01 -6.043661e-02 7.093042e-01 2.451455e+00
1.313131e-01 7.385875e-01 -3.673261e-02 7.297470e-01 2.470076e+00
1.414141e-01 7.489879e-01 -2.063744e-02 7.438936e-01 2.482996e+00
1.515152e-01 7.554829e-01 -1.060541e-02 7.528191e-01 2.491185e+00
1.616162e-01 7.591546e-01 -4.933555e-03 7.579014e-01 2.495873e+00
1.717172e-01 7.610151e-01 -2.056461e-03 7.604892e-01 2.498272e+00
1.818182e-01 7.618523e-01 -7.601659e-04 7.616572e-01 2.499360e+00
1.919192e-01 7.621838e-01 -2.464225e-04 7.621205e-01 2.499792e+00
2.020202e-01 7.622981e-01 -6.915949e-05 7.622803e-01 2.499942e+00
2.121212e-01 7.623321e-01 -1.654112e-05 7.623278e-01 2.499986e+00
2.222222e-01 7.623406e-01 -3.303205e-06 7.623397e-01 2.499997e+00
2.323232e-01 7.623424e-01 -5.355989e-07 7.623422e-01 2.500000e+00
2.424242e-01 7.623427e-01 -6.762286e-08 7.623427e-01 2.500000e+00
