[  155.75  8197.2   1764.04   287.   25520.   25520.  ],[  183.286 14698.6    2974.69    406.    59359.    59359.   ],[   154.5   24227.4    4969.08    282.   101948.   101948.  ],[  160.577 10046.4    1755.06    258.    32338.    32338.   ],[1.92269e+02 6.82488e+04 1.11691e+04 4.38000e+02 3.20526e+05 3.20526e+05]
[   177.565  19929.6     2920.9      376.    115254.    115254.   ],[  159.783  9377.3    1476.57    599.    25356.    25356.   ],[  159.533 13471.2    2061.2     270.    57615.    57615.   ],[  151.967 14482.4    2170.34    335.    85100.    85100.   ],[  161.763 13316.     2068.17    355.    60754.    60754.   ]
[  143.718 11578.     1812.96    255.    55084.    55084.   ],[  166.678 14008.     2172.66    364.    74013.    74013.   ],[  157.   14624.5   2284.57   304.   93077.   93077.  ],[  152.932  8523.05   1365.99    341.    31889.    31889.   ],[   152.078  16300.5     2544.43     585.    116221.    116221.   ]
[  166.826 14571.1    1836.89    516.    81021.    81021.   ],[   150.06  19300.     2396.38    377.   143073.   143073.  ],[  156.656 14499.4    1819.58    512.    77500.    77500.   ],[  142.313 11318.7    1548.15    591.    70756.    70756.   ],[   145.757  14930.8     1993.88     608.    126455.    126455.   ]
