wfs_vary_threads
20435.6,12145.2,18633.3,136149.0,40641.0,136149.0
10377.8,9045.2,10088.1,48535.0,27643.0,48535.0
19158.2,10008.0,17078.6,100849.0,26933.0,100849.0
59995.3,13568.8,49902.6,370014.0,49146.0,370014.0
26551.8,15913.0,24239.0,214629.0,57036.0,214629.0

17376.6,13162.5,16791.3,251696.0,50345.0,251696.0
25053.0,16019.6,23704.7,252179.0,81834.0,252179.0
54286.7,47156.0,53395.3,946839.0,168143.0,946839.0
53073.5,63017.0,54399.3,682640.0,427111.0,682640.0
49962.2,68597.1,52414.1,686332.0,481795.0,686332.0

35248.8,53681.9,37092.1,628230.0,211260.0,628230.0
44964.5,41969.2,44647.6,861225.0,207925.0,861225.0
35370.5,166217.0,47832.1,629071.0,1321857.0,1321857.0
42012.2,52854.6,43171.9,691704.0,286820.0,691704.0
41634.0,59993.9,43640.5,483661.0,347446.0,483661.0

38581.8,68872.3,41009.9,986774.0,524230.0,986774.0
35544.9,43663.9,36188.0,878827.0,226318.0,878827.0
17637.2,32691.7,19197.3,298174.0,266519.0,298174.0
11468.0,19339.2,12342.6,155165.0,128689.0,155165.0
11726.8,30175.4,13823.2,197262.0,321812.0,321812.0

